,songs
64,"When they re young, all Little Monsters learn that they are scary. Ugly, stupid, shunned by Cupid, overweight, and hairy. But every Monster needs to find that secret deep inside that transfers Dr. Jekyl into sexy Mr. Hyde. All my Monsters are beautiful, discostoodiful, squarerootiful, oldcootiful. Monsters don t need implants or a bitchin  Monster car, Monsters only need to love the Monsters that they are. Oh yeah! Gaga, dada, jawa, PEACE, ew "
65,"Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover Heavy metal lover I want your whiskey mouth All over my blonde south Red wine and cheap perfume And a filthy shout Tonight bring all your friends Because a group does it better Why river with a pair Let s have a full house of leather Ooh-ooh-ooh-who-whoWho-who-who ooh-who-whoWho who Heavy metal lover Ooh-ooh-ooh-who-whoWho-who-who ooh-who-whoWho who Heavy Metal lover Dirty pony I can t wait to hose you down You ve got to earn your leather in this part of town Dirty pearls and a patch for all the Rivington Rebels Let s raise hell in the streets drink beer and get into trouble Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Heavy metal lover Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Heavy Metal lover I could be your girl girl girl girl girl girl But would you love me if I ruled the world world world? Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Heavy metal lover Whip me slap me, punk funk New York clubbers, bump drunk Budlite liquors, bar slam Move it, this is your jam Wash the night, with St. Jameson Like a baptism Heavy metal lovers play Because we born this way Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Heavy metal lover Ooh-ooh-ooh-who-who Who-who-who ooh-who-who Who who Heavy metal lover I could be your girl, girl, girl, girl, girl, girl But would you love me if I ruled the world, world, world? Heavy metal lover "
66," Last night  Our lovers  quarrel  I was thinking about you  Hurts more than I can say  And it was kinda dirty  All night  and the way that you looked at me  Help me here  it was kinda nasty, ah  Help me here  it was kinda trashy   Cause I can t help my mind from going there Heard your boyfriend was away this weekend Wanna meet at my place? Heard that we both got nothing to do When I lay in bed, I touch myself and think of you Last night Damn, you were in my sex dreams  you were in my  Doing really nasty things  you were in my dreams  Damn, you were in my sex dreams  you were in my  Making love in my sex dreams We could  I  be caught  just want this to be perfect  We re both convicted criminals of thought   Cause I m broken  Let s white  by the one before  glove the bed  He was kinda nasty, ah  Help me here  and I feel so trashy   Cause we can t hide the evidence in our heads Heard your boyfriend was away this weekend Wanna meet at my place? Heard that we both got nothing to do When I lay in bed, I touch myself and think of you Last night Damn, you were in my sex dreams  you were in my  Doing really nasty things  you were in my dreams  Damn, you were in my sex dreams  you were in my  Making love in my sex dreams  Don t stop the party  Making love in my sex dreams  Let s keep it naughty, yeah  Making love in my sex dreams  Watch me act a fool  Making love in my sex dreams Tomorrow when I run into you Tomorrow when I run into you You could turn to stone or the color of Men petrified by a woman In love, as I am when I lay with you I think of him, I think of him I can t believe I m telling you this But I ve had a couple of drinks and Oh my god Last night Damn, you were in my sex dreams  you were in my  Doing really nasty things  you were in my dreams  Damn, you were in my sex dreams  you were in my  Last night  don t stop the party  Damn, you were in my sex dreams  Let s keep it naughty, yeah  Doing really nasty things  Watch me act a fool  Damn, you were in my sex dreams  Tomorrow when I run into you  Making love in my sex dreams "
67,"I killed my former and Left her in the trunk on Highway 10 Put the knife under the hood If you find it Send it straight to Hollywood Hahahaha Hahahaha Hahahaha Aura-a-a-a Aura-a-a-a I m not a wandering slave I am a woman of choice My veil is protection for the gorgeousness of my face You want to fancy me cause there s always one man to love But in the bedroom, The size of them s more than enough Do you wanna see me naked, lover? Do you wanna peek underneath the cover? Do you wanna see the girl who lives behind the aura, behind the aura? Do you wanna touch me, cosmic lover Do you wanna be the peek underneath the cover? Do you wanna see the girl who lives behind the aura Behind the aura, Behind the aura, Behind the aura Enigma popstar is fun She wear burqa for fashion It s not a statement as much as just a move of passion I may not walk on your street Or shoot a gun on your soil I hear you screaming Is it because of pleasure and toil Dance, Sex ,ART POP, Dance, Sex, ART POP Do you wanna see me naked, lover? Do you wanna be peek underneath the cover? Do you wanna see the girl who lives behind the aura, behind the aura? Do you wanna touch me, cosmic lover Do you wanna be the peek underneath the cover? Do you wanna see the girl who lives behind the aura? Behind the aura, Behind the aura, Behind the curtain, Behind the burqa. ARTPOP "
68,"I don t speak German but I can if you like Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen began be ske but-bair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen frulein uske-be clair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen began be ske but-bair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen frulein uske-be clair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen began be ske but-bair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen frulein uske-be clair I ll take you out tonight Say whatever you like Scheie Scheie be mine Scheie be mine Put on a show tonight Do whatever you like Scheie Scheie be mine Scheie be mine When I m on a mission I rebuke my condition If you re a strong female You don t need permission I wish I could dance on a single prayer I wish I could be strong without somebody there I wish that I could dance on a single prayer I wish I could be strong without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Without the Sheie yeah I don t speak German, but I wish I could Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen began be ske but-bair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen frulein uske-be clair Love is objectified by what men say is right Sheie Sheie be mine Shit be mine Blonde high heeled feminist enlisting femmes for this Express your women kind fight for your rights When I m on a mission I rebuke my condition. If you re a strong female, You don t need permission. I wish I could dance on a single prayer I wish I could be strong without somebody there I wish that I could dance on a single prayer I wish I could be strong without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Without the Sheie yeah I don t speak German, but I wish I could I don t speak German but I can if you like I don t speak German but I can if you like I wish I could dance on a single prayer I wish I could be strong without permission yeah I wish that I could dance on a single prayer I wish I could be strong without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Without the Sheie yeah Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen began be ske but-bair Ich Schleiban austa be clair es kumpent madre monstre, aus-be aus-can-be flaugen frulein uske-be clair "
69,"Do you feel, like you ever want To try my love and see how well it fits Baby can t you see, when you look at me I can t kick this feeling when it hits Oh all alone, in my bed at night I grab my pillow and squeeze it tight I think of you and I dream of you, all of the time What am I gonna do? I want your love, I want your love  want your love, you know I need your love  I want your love, I want your love  want your love, you know I need your love  I need your love, I need your love I need your love, I need your love I need your love, I need your love I ll share my dreams And make you see How really bad your love I need I want your love, I need your love Just like the birds in the sky above I ll share my dreams And make you see How really bad your love I need I ll share my dreams And make you see How really bad your love I need I want your love, I want your love  want your love, you know I need your love  I want your love, I want your love  want your love, you know I need your love  I want your love, I want your love  want your love, you know I need your love  I want your love, I want your love  want your love, you know I need your love  I want your love Have you ever been in love I want your love You know I want your love You know I need your love You know I want your love You know I need your love You know I want your love You know I need your love You know I want your love You know I need your love You know I want your love You know I want your love I want your love, I want your love "
70,"Oh, oh yeah, oh babe. Last time, I doubt we had this talk Boy, you were getting ready to leave. I thought, baby you were done  Cause for a while, you could barely look at me. This time, I thought that we d be fine That I d forgive the things that you said. I tried, crossing out your words But baby you cannot forget the past, yeah.  Oh, oh, oh babe  Cannot forget the past, oh babe.  Oh, oh, oh babe  I m so unpredictable, you don t know what to think I m so unemotional, I wonder if I m even still in love, you see. I don t know what to tell you now It s always harder, the second time around. I m so unpredictable, just like you used to be. So unemotional, boy, I can t forget the way you were with me. I don t know what to tell you now It s always harder, the second time around. The second time around. We tried, going back to Joe s That always was a favourite place. Long rides, baby by the coast Do you remember where we stayed? Last time, we were hanging out You were acting kind of, uh, strange. Now it s, the second time around I m sorry now it s me that feels this way, yeah.  Oh, oh, oh babe   My heart just speaks sometimes  It s me that feels this way, yeah babe.  Oh, oh, oh babe  I know that you are the one that is brave. I m so unpredictable, you don t know what to think I m so unemotional, I wonder if I m even still in love, you see. I don t know what to tell you now It s always harder, the second time around. I m so unpredictable, just like you used to be. So unemotional, boy, I can t forget the way you were with me. I don t know what to tell you now It s always harder, the second time around. I m not sure the best way to say this But I can t pretend I love you no more, babe. This ferris wheel s got me crazy Maybe the second time around is not meant for us baby, yeah. Not meant for us baby, oh yeah. I m so unpredictable, you don t know what to think I m so unemotional, I wonder if I m even still in love, you see. I don t know what to tell you now It s always harder, the second time around. I m so unpredictable, just like you used to be. So unemotional, boy, I can t forget the way you were with me. I don t know what to tell you now It s always harder, the second time around. I m so unpredictable, you don t know what to think I m so unemotional, I wonder if I m even still in love, you see. I don t know what to tell you now It s always harder, the second time around. I m so unpredictable, just like you used to be. So unemotional, boy, I can t forget the way you were with me. I don t know what to tell you now It s always harder, the second time around. The second time around. "
71,"Came down the mountain Dragging our love affair Put on a pretty little number I m wearing you still It was a hell of a scene at daddy s feast Nobody saw it coming but the little red devil in me He has a funny way saying forever too fast Don t get mad, can t blame a tramp For something he don t have I get on my knees and beg you Hear my sinner s prayer I am what I am And I don t wanna break the heart of any other man But you, but you, oh Hear my sinner s prayer It s the only one I know It sure as hell don t rhyme But it s as good as, good as, good as, good as gold I got a baby sister who looks just like me And she wants nothing more than a man to please Maybe she s in too deep Her love for him ain t cheap But it breaks Just like a knockoff piece from Fulton Street The man s got a gift for getting what he wants He s thirsty when he drinks Gets on the brink, and throws her off I get on my knees and beg you Hear my sinner s prayer I am what I am And I don t wanna break the heart of any other man But you, but you, oh Hear my sinner s prayer It s the only one I know It sure as hell don t rhyme But it s as good as, good as, good as, good as gold Good as, good as, good as, good as gold I can carry you, but not your ghosts Wish I had the faith, but I don t know Hear my sinner s prayer I am what I am And I don t wanna break the heart of any other man But you, but you, oh Hear my sinner s prayer The only one I know It sure as hell don t rhyme But it s as good as, good as, good as, good as gold Good as, good as, good as, good as gold Good as, good as, good as gold Good as, good as, good as, good as gold Good as, good as, good as, good as gold "
72,"Hush up Don t speak, don t wanna hear another Not another word from you You re just an animal Trying to act real special But deep down, you are just a shrew Maybe I should have a little more Just to stay out of my mind  Cause it s when I m not thinking with you That I act like a swine Act like a swine Act like a swine I know, I know, I know, I know you want me You re just a pig inside a human body Squealer, squealer, squeal out, you re so disgusting You re just a pig inside Do ya? I know, I know, I know you want me You re just a pig inside a human body Squealer, squealer, squeal out, you re so disgusting You re just a pig inside Swine, swine Swine, swine Swine! Swine! Be that hog Sweat it out, you squealer Let your body jiggle Slap her skin-he Love to watch her ass go wiggle It s the feel of ecstasy Maybe I should have a little more Just to stay out of my mind  Cause it s when I m not thinking with you That I act like a swine Act like a swine Act like a swine I know, I know, I know, I know you want me You re just a pig inside a human body Squealer, squealer, squeal out, you re so disgusting You re just a pig inside Do ya? I know, I know, I know you want me You re just a pig inside a human body Squealer, squealer, squeal out, you re so disgusting You re just a pig inside Swine, swine Swine, swine Swine! Paint your face and Paint his face and  catch the beat  Paint your face and Paint her face and  catch the beat  Paint your face and Be a swine just  catch the beat  For the weekend Catch the beat C-catch the beat C-catch, c-c-catch the beat C-catch the beat Swine! "
73,"Beautiful, dirty, dirty, rich, rich, dirty, dirty Beautiful, dirty, rich Dirty, dirty, rich, dirty, dirty, rich, beautiful Beautiful and dirty, dirty, rich, rich, dirty We got a red light, pornographic dance fight Systematic Honey, but we go no money Our hair is perfect, while we re all getting Shit wrecked, it s automatic Honey, but we got no money Daddy, I m so sorry, I m so s-s-sorry, yeah We just like to party, like to p-p-party, yeah Bang, bang We re beautiful and dirty rich  Dirty, dirty, rich, dirty, dirty, rich, beautiful  Bang, bang We re beautiful and dirty rich  Beautiful and dirty, dirty, rich, rich, bang, bang  We live a cute life, sound fanatic Pants tighter than plastic Honey, but we got no money We do the dance right, we have got it Made like ice cream topped with honey But we got no money Daddy, I m so sorry, I m so s-s-sorry, yeah We just like to party, like to p-p-party, yeah Bang, bang We re beautiful and dirty rich  Dirty, dirty, rich, dirty, dirty, rich, beautiful  Bang, bang We re beautiful and dirty rich  Beautiful and dirty, dirty, rich, rich, bang, bang  A bang-bang-bang, bang-bang-bang Beautiful, dirty, rich A bang-bang-bang, bang-bang-bang Beautiful, dirty, rich Bang, bang We re beautiful and dirty rich  Dirty, dirty, rich, dirty, dirty, rich, beautiful  Bang, bang We re beautiful and dirty rich  Beautiful and dirty, dirty, rich, rich, bang, bang  Bang, bang  Dirty, dirty, rich, dirty, dirty, rich, beautiful  Bang, bang  Beautiful and dirty, dirty, rich, rich, bang, bang  "
74,"Yeah, man Play that New York drum, Homer Show  em how we do it Downtown Just another way to prove I love you, when it s hard today I ll lay back in my chair and find a way And when you say that thing that you say That makes me mad, I ll turn away I ll turn away, I ll turn away And think of different ways to keep my spirits up And choreograph hours with playful joyish thoughts We both know I could learn a thing or two About relaxing, hey, I love you And after all, it s just another day Oh, I could use some two or three Or other kind of ways to be But today I won t be so hard on me I ll walk alone down a different street And smile at all the new strange I meet And pick up unique style I ll kick around today And create simple thoughts I ll laugh in humble ways We both know I could learn a thing or two About behaving, but I love you And after all, it s just another day Come on, Mark! Ladies and gentlemen, Brian Newman We both know I could learn a thing or two About behaving, but I love you And after all, it s just another day And after all, it s just another day "
75,"Yeah Turn the mic up I, I feel good, I walk alone But then I trip over myself, and I fall I, I stand up, and then I m okay But then you print some shit That makes me wanna scream So do what you want What you want with my body Do what you want Don t stop, let s party Do what you want What you want with my body Do what you want What you want with my body Write what you want Say what you want about me If you re wondering, know that I m not sorry Do what you want What you want with my body What you want with my body You can t have my heart, and You won t use my mind, but Do what you want with my body Do what you want with my body You can t stop my voice  cause You don t own my life, but Do what you want with my body Do what you want with my body Early morning, longer nights Tom Ford, private flights Crazy schedule, fast life I wouldn t trade it in  cause it s our life  Let s slow it down  I could be the drink in your cup I could be the green in your blunt Your pusher man, yeah, I got what you want You wanna escape all of the crazy shit You re the Marilyn, I m the president And I d love to hear you say, girl Do what I want Do what I want with your body Do what I want Do what I want with your body Back of the club, taking shots, getting naughty No invitations, it s a private party Do what I want Do what I want with your body Do what I want Do what I want with your body Yeah, we taking these haters, and we roughing  em up And we laying the club like we don t give a fuck You can t have my heart, and You won t use my mind, but Do what you want with my body Do what you want with my body You can t stop my voice  cause You don t own my life, but Do what you want with my body Do what you want with my body Sometimes I m scared, I suppose If you ever let me go I would fall apart If you break my heart So just take my body And don t stop the party You can t have my heart, and  help me now  You won t use my mind, but Do what you want with my body Do what you want with my body You can t stop my voice  cause You don t own my life, but Do what you want with my body Do what you want with my body Do what you want with me What you want with my body Do what you want with me What you want with my body  world  Do what you want with me What you want with my body Do what you want with me What you want with my body World, help me now What you want with my body Do what you want with my body Do what you want with my body What you want with my body  world  "
76,"Gaga, ga-oh-ah Gaga, ga-oh-oh-oh Io ritorne Io ritorne Io ritorne Goverment Hooker, eh I can be good, if you just wanna be bad I can be cool, if you just wanna be mad I can be anything, I ll be your everything Just touch me baby, I don t wanna be sad As long as I m your hooker  back up and turn around  As long as I m your hooker  hands on the ground  As long as I m your hooker  back up and turn around  As long as I m your hooker  get down  Hooker  yeah, you re my hooker  Hooker  government hooker  Hooker  yeah, you re my hooker  Hooker  government hooker  I m gonna drink my tears tonight I m gonna drink my tears and cry  Cause I know you love me, baby I know you love me, baby I could be girl, unless you want to be man I could be sex, unless you want to hold hands I could be anything, I could be everything I could be mom, unless you want to be dad Ay, mi papito! As long as I m your hooker  back up and turn around  As long as I m your hooker  hands on the ground  As long as I m your hooker  back up and turn around  As long as I m your hooker  get down  Hooker  yeah, you re my hooker  Hooker  government hooker  Hooker  yeah, you re my hooker  Hooker  government hooker  Put your hands on me John F. Kennedy I ll make you squeal baby As long as you pay me  aw!  I m gonna drink my tears tonight I m gonna drink my tears and cry  Cause I know you love me, baby I know you love me, baby Hooker  yeah, you re my hooker  Hooker  government hooker  Hooker  yeah, you re my hooker  Hooker  government hooker  I could be girl, unless you want to be man I could be sex, unless you want to hold hands I could be anything, I could be everything I could be mom, unless you want to be dad I wanna fuck, government hooker  back up and turn around  Stop fucking me, government hooker  hands on the ground  I wanna fuck, government hooker  back up and turn around  Stop fucking me, government hooker  get down  Yes! "
77,"I don t speak German But I can if you like- ow Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair I ll take you out tonight Say whatever you like ScheiÃe, scheiÃe be mine ScheiÃe, be mine Put on a show tonight Do whatever you like ScheiÃe, scheiÃe be mine ScheiÃe, be mine When I m on a mission I rebuke my condition If you re a strong female You don t need permission I, I wish that I could dance on a single prayer I, I wish I could be strong without somebody there I, I wish that I could dance on a single prayer I, I wish I could be strong without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  I don t speak German but I wish I could- ow.  Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair Love is objectified By what men say is right ScheiÃe, scheiÃe be mine Bullshit, be mine Blonde high-heeled feminists Enlisting femmes for this Express your womankind Fight for your right When I m on a mission I rebuke my condition If you re a strong female You don t need permission I, I wish that I could dance on a single prayer I, I wish I could be strong without somebody there I, I wish that I could dance on a single prayer I, I wish I could be strong without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  I don t speak German but I wish I could- ow.  I, I, I, I, I I, I, I, I don t speak German I, I, I, I, I But I can if you like I, I, I, I, I I, I, I, I don t speak German I, I, I, I, I But I can if you like I, I wish that I could dance on a single prayer I, I wish I could be strong without permission, yeah I, I wish that I could dance on a single prayer I, I wish I could be strong without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah  Oh, oh, oh, oh-oh  Without the scheiÃe, yeah Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen Begun be Ã¼ske but-bair Ich schleiban austa be clair Es kumpent madre monstÃ¨re Aus-be aus-can-be flaugen FrÃ¤ulein uske-be clair "
